timestamp,datetime,year,month,day,hour,weekday,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed,precipitation,is_weekend,hour_sin,hour_cos,aqi_rolling_mean,aqi_rolling_std,aqi_rolling_max,aqi_rolling_min,pm2_5_rolling_mean,pm2_5_rolling_std,pm2_5_rolling_max,pm2_5_rolling_min,pm10_rolling_mean,pm10_rolling_std,pm10_rolling_max,pm10_rolling_min,aqi_lag_1,aqi_lag_24,aqi_lag_48,pm2_5_lag_1,pm2_5_lag_24,pm2_5_lag_48,pm10_lag_1,pm10_lag_24,pm10_lag_48,aqi_ema,pm2_5_ema,pm10_ema,temp_aqi_interaction,humidity_wind_interaction,daily_avg_aqi,monthly_avg_aqi,weekly_avg_aqi,aqi_median,aqi_max,aqi_min,aqi_trend,aqi_seasonal,aqi_residual,is_aqi_spike,is_aqi_dip
1733432400,2024-12-05 21:00:00,2024,12,5,21,3,0.6698723004068484,4859.92,38.89,113.79,0.0,22.17,0.9445714710298387,0.8483319335691573,30.91,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.7071067811865477,0.7071067811865474,4.625,0.7109393663377268,5.0,3.0,170.25833333333335,108.42904041721079,467.92,39.99,237.53083333333333,135.15901890210552,608.25,69.82,5.0,5.0,5.0,209.2,167.25,86.12,275.43,247.98,138.75,4.615320956211694,155.46998105369474,218.44226959088928,1159.5,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.735979271045818,0.1665991736342093,0.09742155531997287,0,0
1733436000,2024-12-05 22:00:00,2024,12,5,22,3,0.6698723004068484,5180.36,35.76,122.01,0.0,23.13,1.2309063556927342,1.1019354971497428,27.61,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.5000000000000004,0.8660254037844384,4.625,0.7109393663377268,5.0,3.0,174.66208333333336,109.981943457894,467.92,39.99,241.64749999999995,136.47037417791773,608.25,69.82,5.0,5.0,5.0,231.9,156.52,81.96,298.78,231.65,130.92,4.64609527971476,164.00918256939917,227.40288802361815,1311.05,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.755645773511818,0.07576991113986845,0.16858431534831375,0,0
1733439600,2024-12-05 23:00:00,2024,12,5,23,3,0.6698723004068484,5340.58,29.95,127.49,0.0,23.37,1.4983474835319484,1.329674219859937,23.56,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.25881904510252157,0.9659258262890681,4.625,0.7109393663377268,5.0,3.0,180.30541666666667,112.38209419418669,467.92,39.99,247.08666666666667,138.50360239128196,608.25,69.82,5.0,5.0,5.0,262.21,155.08,78.02,330.45,228.35,123.71,4.6744076573375795,174.13004796384726,237.9218569817287,1452.6,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.776029468101524,0.08510922337131205,0.13886130852716416,0,0
1733443200,2024-12-06 00:00:00,2024,12,6,0,4,0.6698723004068484,5073.55,23.02,123.38,0.0,23.84,1.550305314797073,1.3443282937896015,20.01,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,0.0,1.0,4.625,0.7109393663377268,5.0,3.0,186.08583333333334,114.6909164712469,467.92,39.99,252.53916666666666,140.35931582337454,608.25,69.82,5.0,5.0,4.0,290.52,157.29,73.84,358.89,229.86,117.79,4.700455044750574,183.8812441267395,247.7457084231904,1480.1,442.0,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.796834173469233,-0.005467952207441154,0.208633778738208,0,0
1733446800,2024-12-06 01:00:00,2024,12,6,1,4,0.6698723004068484,4005.43,15.42,98.71,0.05,22.89,1.1101752495894086,0.9158367659336768,16.21,0.3067852036340236,0.03676687130299679,-0.7940636989684438,0.0,0,0.25881904510252074,0.9659258262890683,4.625,0.7109393663377268,5.0,3.0,189.65999999999997,115.29634222487208,467.92,39.99,255.53583333333333,140.7422573950932,608.25,69.82,5.0,5.0,4.0,296.02,163.65,70.85,360.72,235.29,115.44,4.724418641170528,189.12514459660034,252.50285174933515,1247.15,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.81789349935225,0.004193549824013787,0.17791295082373626,0,0
1733450400,2024-12-06 02:00:00,2024,12,6,2,4,0.6698723004068484,3311.16,14.19,82.94,0.1,23.37,0.7411801788229055,0.5763106814430922,17.99,0.3067852036340236,0.03676687130299679,-0.7940636989684438,0.0,0,0.49999999999999994,0.8660254037844387,4.625,0.7109393663377268,5.0,3.0,190.71916666666667,115.36793054950496,467.92,39.99,255.79083333333332,140.75376436132734,608.25,69.82,5.0,5.0,4.0,249.43,184.95,72.86,307.21,258.69,120.59,4.746465149876887,190.82473302887232,253.48742360938834,1051.85,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.839132835940314,0.11414274902763043,0.046724415032056044,0,0
1733454000,2024-12-06 03:00:00,2024,12,6,3,4,0.6698723004068484,4112.24,34.42,93.22,0.12,29.56,1.0267593132128539,0.8888508483692129,29.39,0.3067852036340236,0.03676687130299679,-0.7940636989684438,0.0,0,0.7071067811865476,0.7071067811865476,4.625,0.7109393663377268,5.0,3.0,190.35916666666665,115.19072377042198,467.92,39.99,254.5470833333333,140.166147760719,608.25,69.82,5.0,5.0,5.0,210.37,249.24,84.92,264.81,333.69,139.17,4.766747937886736,194.80675438656252,257.5156297206373,1203.0,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.860503734098346,0.22436823349034327,-0.08487196758868976,0,0
1733457600,2024-12-06 04:00:00,2024,12,6,4,4,0.6698723004068484,5981.45,83.15,113.79,2.91,39.58,1.6613061361362027,1.5794340919179872,46.61,0.3067852036340236,0.03676687130299679,-0.7940636989684438,0.0,0,0.8660254037844386,0.5000000000000001,4.625,0.7109393663377268,5.0,3.0,189.53458333333333,114.2327300230303,467.92,39.99,252.81875,138.12951295991556,608.25,69.82,5.0,5.0,5.0,240.6,327.56,95.68,303.84,431.56,158.3,4.785408102855798,203.84381403563754,268.12077934298634,1538.85,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.881834970833095,0.234843715498012,-0.1166786863311069,0,0
1733461200,2024-12-06 05:00:00,2024,12,6,5,4,0.6698723004068484,7690.43,121.59,141.2,10.46,48.16,2.2716689503252394,2.279626564273099,66.88,0.3067852036340236,0.03676687130299679,-0.7940636989684438,0.0,0,0.9659258262890683,0.25881904510252074,4.625,0.7109393663377268,5.0,3.0,188.65333333333334,112.66135480574829,467.92,39.99,251.1504166666667,134.99926832262807,608.25,69.82,5.0,5.0,5.0,307.77,393.53,101.0,390.08,517.56,171.77,4.802575454627335,217.32670891278656,284.8727169955474,1861.9,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.902736270589195,0.34569170371409896,-0.24842797430329355,0,0
1733464800,2024-12-06 06:00:00,2024,12,6,6,4,0.6698723004068484,8438.11,102.82,197.41,28.61,55.79,2.805984393298957,2.9041463597783044,79.04,0.3067852036340236,0.03676687130299679,-0.7940636989684438,0.0,0,1.0,6.123233995736766e-17,4.625,0.7109393663377268,5.0,3.0,187.02916666666667,108.6705953955495,428.94,39.99,248.9529166666667,129.24012092357614,555.51,69.82,5.0,5.0,5.0,372.38,467.92,103.48,477.52,608.25,182.04,4.818369418257149,234.25577219976364,306.52369963590365,2144.7,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.92262049681794,0.25678131999014925,-0.1794018168080891,0,0
